year;composer;title;accompaniment;movements;permalink;trebleclef;tempo_1;minSPN_1;maxSPN_1;minMIDI_1;maxMIDI_1;ambitus_1;tempo_2;minSPN_2;maxSPN_2;minMIDI_2;maxMIDI_2;ambitus_2;tempo_3;minSPN_3;maxSPN_3;minMIDI_3;maxMIDI_3;ambitus_3;tempo_4;minSPN_4;maxSPN_4;minMIDI_4;maxMIDI_4;ambitus_4;minSPN_work;maxSPN_work;minMIDI_work;maxMIDI_work;ambitus_work
1879;Wailly, Paul de;Cello Sonata in D major;piano;3;https://imslp.org/wiki/Special:ReverseLookup/558682;Loco;Poco adagio quasi andante;D2;A#4;38;70;32;Tempo di minuetto;C#3;Bb4;49;70;21;Allegro;D2;F#5;38;78;40; ; ; ; ; ;0;D2;F#5;38;78;40
1882;Grieg, Edvard;Cello Sonata, Op.36;piano;3;https://imslp.org/wiki/Special:ReverseLookup/521601;Loco;Allegro agitato;C2;G5;36;79;43;Andante molto tranquillo;C2;A5;36;81;45;Allegro;C2;A5;36;81;45; ; ; ; ; ;0;C2;A5;36;81;45
1888;Glass, Louis;Cello Sonata, Op.5;piano;3;https://imslp.org/wiki/Special:ReverseLookup/23986;Loco;Allegro con brio;C2;Ab5;36;80;44;Andante placido e sostenuto;Db2;Gb5;37;78;41;Vivace giocoso;C2;F#5;36;78;42; ; ; ; ; ;0;C2;Ab5;36;80;44
1890;Emmanuel, Maurice;Cello Sonata;piano;3;https://imslp.org/wiki/Special:ReverseLookup/133651;Loco;Allegro;C2;B4;36;71;35;Larghetto;E2;F#5;40;78;38;Gigue. Allegro molto;C2;B4;36;71;35; ; ; ; ; ;0;C2;F#5;36;78;42
1892;Goldmark, Carl;Cello Sonata, Op. 39;piano;3;https://imslp.org/wiki/Special:ReverseLookup/103682;8vb;Moderato con mosso;C2;C#5;36;73;37;Andante;C#2;D5;37;74;37;Allegro non troppo;C2;F5;36;77;41; ; ; ; ; ;0;C2;F5;36;77;41
1895;Peters, Guido;Cello Sonata in F minor;piano;3;https://imslp.org/wiki/Special:ReverseLookup/418026;Loco;Molto sostenuto;C2;F5;36;77;41;Scherzo. Allegro ma non troppo;C2;E5;36;76;40;Allegro energico, poco maestoso;C2;Db6;36;85;49; ; ; ; ; ;0;C2;Db6;36;85;49
1903;Huré, Jean;Cello Sonata in F-sharp minor;piano;1;https://imslp.org/wiki/Special:ReverseLookup/59809;Loco;Assez lent - Assez vif - Lent;B#1;C6;36;84;48; ; ; ; ; ;0; ; ; ; ; ;0; ; ; ; ; ;0;B#1;C6;36;84;48
1904;Reger, Max;Cello Sonata No.3, Op.78;piano;4;https://imslp.org/wiki/Special:ReverseLookup/140060;Loco;Allegro con brio;C2;B5;36;83;47;Vivacissimo;C2;C5;36;72;36;Andante con variazioni;C2;A5;36;81;45;Allegro vivace;C2;A5;36;81;45;C2;B5;36;83;47
1909;Schäfer, Dirk;Cello Sonata, Op.13;piano;3;https://imslp.org/wiki/Special:ReverseLookup/428927;Loco;Allegro con brio;C2;C6;36;84;48;Adagio, non troppo;D2;G5;38;79;41;Allegro assai agitato;C2;G5;36;79;43; ; ; ; ; ;0;C2;C6;36;84;48
1915;Debussy, Claude;Cello Sonata;piano;3;https://imslp.org/wiki/Special:ReverseLookup/917222;Loco;Prologue. Lent, sostenuto e molto risoluto;C2;A5;36;81;45;Sérénade. Modérément animé;C2;F5;36;77;41;Finale. Animé, léger et nerveux;C2;G5;36;79;43; ; ; ; ; ;0;C2;A5;36;81;45
1917;Boulnois, Joseph;Cello Sonata;piano;4;https://imslp.org/wiki/Special:ReverseLookup/17486;Loco;Andante tranquillo - Allegro moderato;C2;C6;36;84;48;Choral. Andante sostenuto;C2;Bb5;36;82;46;Scherzo. Vivo;C2;B5;36;83;47;Finale. Allegro deciso;C2;B5;36;83;47;C2;C6;36;84;48
1920;Ornstein, Leo;Cello Sonata No.2, SO 613;piano;1;https://imslp.org/wiki/Special:ReverseLookup/12477;Loco;N/A;D#2;C6;39;84;45; ; ; ; ; ;0; ; ; ; ; ;0; ; ; ; ; ;0;D#2;C6;39;84;45
1923;Bax, Arnold;Cello Sonata, GP 265;piano;3;https://imslp.org/wiki/Special:ReverseLookup/991623;Loco;Moderato. Tempo vaccilando;C2;C6;36;84;48;Poco lento;C2;E5;36;76;40;Molto vivace ma non troppo allegro;C2;A5;36;81;45; ; ; ; ; ;0;C2;C6;36;84;48
1930;Kochurov, Yury;Cello Sonata, Op. 1;piano;3;https://imslp.org/wiki/Special:ReverseLookup/580765;Loco;Risoluto;C2;F6;36;89;53;Adagio;C2;A5;36;81;45;Allegro ma non troppo;C2;B5;36;83;47; ; ; ; ; ;0;C2;F6;36;89;53
1932;Ferroud, Pierre-Octave;Cello Sonata in A;piano;3;https://imslp.org/wiki/Special:ReverseLookup/17452;None;Capriccio;C2;A5;36;81;45;Intermezzo;C2;D5;36;74;38;Rondo;C2;C#5;36;73;37; ; ; ; ; ;0;C2;A5;36;81;45
1938;Wehrli, Werner;Cello Sonata, Op. 47;piano;3;https://imslp.org/wiki/Special:ReverseLookup/484537;None;Moderato;C#2;D5;37;74;37;Ritornell. Adagio molto espressivo, quasi una fantasia;C#2;D5;37;74;37;Finale. Allegro giocoso;C2;C5;36;72;36; ; ; ; ; ;0;C2;D5;36;74;38
