year;composer;title;accompaniment;movements;permalink;trebleclef;scope;minSPN;maxSPN;minMIDI;maxMIDI;ambitus;tempo
1770;Vandini, Antonio;Cello Sonata in E major, IAV 6;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/391844;8vb;5;G#2;E5;44;76;32; 
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 2);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;1;C2;A5;36;81;45;Moderato
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 2);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;2;G2;G5;43;79;36;Adagio
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 2);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;3;C#2;A5;37;81;44;Rondo Finale
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 2);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;4; ; ; ; ; ; 
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 2);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;5;C2;A5;36;81;45; 
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;1;C2;G5;36;79;43;Moderato brilliante
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;2;G2;A5;43;81;38;Romanza. Adagio
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;3;C2;C6;36;84;48;Rondo
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;4; ; ; ; ; ; 
1783;Kraft, Anton;3 Cello Sonatas, Op.2 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/410552;8vb;5;C2;C6;36;84;48; 
1785;Fortia de Piles, Alphonse;3 Cello Sonatas, Op.5 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166664;None;1;G2;A4;43;69;26;Allegro moderato
1785;Fortia de Piles, Alphonse;3 Cello Sonatas, Op.5 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166664;None;2;C3;A4;48;69;21;Andantino
1785;Fortia de Piles, Alphonse;3 Cello Sonatas, Op.5 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166664;None;3;B2;A4;47;69;22;Presto
1785;Fortia de Piles, Alphonse;3 Cello Sonatas, Op.5 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166664;None;4; ; ; ; ; ; 
1785;Fortia de Piles, Alphonse;3 Cello Sonatas, Op.5 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166664;None;5;G2;A4;43;69;26; 
1796;Beethoven, Ludwig van;Cello Sonata No.2, Op.5 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/534372;8vb;1;C2;Bb4;36;70;34;Adagio sostenuto e espressivo
1796;Beethoven, Ludwig van;Cello Sonata No.2, Op.5 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/534372;8vb;2;C2;D5;36;74;38;Allegro molto più tosto presto
1796;Beethoven, Ludwig van;Cello Sonata No.2, Op.5 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/534372;8vb;3;C2;E5;36;76;40;Rondo. Allegro
1796;Beethoven, Ludwig van;Cello Sonata No.2, Op.5 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/534372;8vb;4; ; ; ; ; ; 
1796;Beethoven, Ludwig van;Cello Sonata No.2, Op.5 No.2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/534372;8vb;5;C2;E5;36;76;40; 
1799;Ries, Ferdinand;Cello Sonata, WoO 2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/596525;8vb;1;C2;C5;36;72;36;Grave - Allegro
1799;Ries, Ferdinand;Cello Sonata, WoO 2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/596525;8vb;2;C2;Db5;36;73;37;Adagio
1799;Ries, Ferdinand;Cello Sonata, WoO 2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/596525;8vb;3;C2;B4;36;71;35;Finale. Prestissimo
1799;Ries, Ferdinand;Cello Sonata, WoO 2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/596525;8vb;4; ; ; ; ; ; 
1799;Ries, Ferdinand;Cello Sonata, WoO 2;piano;3;https://imslp.org/wiki/Special:ReverseLookup/596525;8vb;5;C2;Db5;36;73;37; 
1808;Beethoven, Ludwig van;Cello Sonata No.3, Op.69;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314760;Loco;1;C#2;E5;37;76;39;Allegro, ma non tanto
1808;Beethoven, Ludwig van;Cello Sonata No.3, Op.69;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314760;Loco;2;E2;E5;40;76;36;Scherzo. Allegro molto
1808;Beethoven, Ludwig van;Cello Sonata No.3, Op.69;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314760;Loco;3;C2;F#5;36;78;42;Adagio cantabile - Allegro vivace
1808;Beethoven, Ludwig van;Cello Sonata No.3, Op.69;piano;3;https://imslp.org/wiki/Special:ReverseLookup/314760;Loco;4; ; ; ; ; ; 
